purchase,unit,geo\time	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,INX_Q,NL	130.38 	128.93 	126.73 	124.91 	121.59 	119.44 	116.32 	114.39 	111.72 	109.60 	107.48 	106.35 	103.72 	102.65 	101.31 	100.69 	99.37 	98.63 	97.89 	97.84 	96.92 	96.33 	95.80 	96.14 	95.77 	97.75 	100.05 	100.74 	104.87 	106.91 	108.29 	110.20 	111.03 	111.51 	112.12 	113.42 	113.32 	113.16 	113.35 	114.29 	115.86 	118.89 	119.68 	120.60 	119.26 	119.16 	117.73 	117.33 	115.57 	114.19 	112.94 	112.42 	111.00 	109.68 	108.06 	107.44 	106.14 	104.85 
DW_EXST,INX_Q,NO	120.24 	117.43 	114.53 	116.86 	117.64 	113.52 	111.25 	113.40 	116.73 	116.02 	111.65 	110.69 	107.45 	103.22 	99.60 	101.08 	100.98 	98.35 	94.45 	94.56 	93.94 	90.69 	88.68 	91.45 	92.77 	90.96 	88.25 	88.66 	87.51 	85.01 	82.14 	82.47 	82.20 	79.98 	76.08 	76.13 	76.51 	73.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PL	124.98 	121.35 	118.76 	116.66 	114.23 	111.02 	109.24 	108.01 	106.96 	104.30 	104.40 	104.01 	102.14 	99.64 	99.97 	100.49 	100.42 	99.13 	99.21 	99.46 	100.07 	98.64 	98.66 	98.52 	97.70 	97.38 	99.44 	101.26 	103.01 	103.73 	105.79 	107.11 	108.73 	107.55 	107.34 	108.40 	108.73 	106.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,PT	146.30 	142.08 	136.60 	134.11 	132.90 	129.18 	124.72 	122.82 	118.03 	114.34 	111.53 	110.18 	108.34 	104.66 	102.14 	100.96 	99.89 	97.01 	97.19 	95.95 	96.60 	95.02 	94.55 	92.01 	91.51 	90.72 	93.94 	92.92 	94.40 	95.91 	97.29 	101.38 	104.00 	106.52 	107.68 	109.38 	110.72 	110.42 	110.04 	109.17 	108.58 	106.91 	107.53 	110.08 	111.53 	110.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,RO	124.26 	122.01 	121.51 	120.62 	121.84 	117.94 	115.39 	113.88 	115.10 	110.53 	107.93 	106.12 	106.48 	103.48 	100.48 	98.65 	99.89 	100.98 	97.20 	95.57 	96.35 	97.74 	97.10 	97.67 	100.05 	100.58 	96.55 	96.53 	100.45 	101.07 	97.63 	102.16 	110.38 	111.80 	117.36 	120.79 	124.86 	126.44 	135.20 	129.12 	130.02 	135.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SE	113.99 	111.89 	112.16 	113.06 	112.36 	111.90 	113.47 	118.10 	116.84 	114.72 	111.57 	109.70 	106.97 	105.91 	104.48 	102.41 	98.32 	94.79 	90.46 	88.71 	85.51 	83.38 	80.84 	79.66 	78.10 	75.99 	74.59 	74.69 	73.80 	72.55 	71.51 	73.52 	73.82 	74.18 	73.66 	72.24 	71.31 	70.45 	69.02 	67.21 	65.08 	62.59 	61.03 	65.58 	66.23 	64.72 	64.50 	66.98 	64.50 	60.41 	57.80 	57.61 	56.00 	54.04 	52.05 	50.45 	48.09 	46.21 
DW_EXST,INX_Q,SI	130.15 	128.19 	127.47 	123.19 	120.16 	116.67 	115.66 	112.51 	111.54 	107.85 	105.54 	104.55 	103.62 	101.38 	98.10 	99.32 	102.20 	100.37 	98.87 	98.58 	99.72 	100.60 	103.84 	105.62 	109.30 	108.61 	109.37 	111.96 	116.28 	113.59 	116.45 	119.34 	120.47 	121.58 	117.24 	117.96 	118.82 	120.67 	117.75 	114.44 	114.66 	118.16 	122.14 	129.02 	125.87 	126.36 	123.93 	121.60 	119.13 	115.84 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,SK	134.15 	128.42 	125.33 	121.88 	121.59 	118.89 	116.06 	114.94 	113.44 	106.93 	110.48 	108.07 	106.02 	103.21 	101.32 	100.28 	100.04 	98.37 	95.39 	94.06 	93.77 	92.65 	92.78 	92.51 	93.02 	92.61 	90.16 	91.88 	91.79 	91.70 	91.60 	93.52 	94.32 	94.51 	93.99 	93.82 	94.48 	94.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,UK	115.70 p	114.72 	116.31 	116.79 	114.50 	112.92 	113.45 	113.56 	111.01 	108.51 	108.36 	108.57 	106.23 	104.09 	103.05 	101.91 	98.62 	96.43 	96.81 	96.71 	93.53 	90.29 	89.10 	88.75 	86.57 	84.90 	85.31 	86.39 	85.27 	83.72 	84.60 	85.82 	84.72 	84.02 	85.80 	87.85 	86.58 	84.97 	84.56 	82.84 	79.58 	78.38 	82.89 	88.78 	92.22 	92.78 	95.62 	95.67 	92.97 	89.56 	88.26 	86.61 	83.83 	80.73 	80.13 	80.08 	78.12 	75.92 
DW_EXST,RCH_A,AT	7.1 	5.0 	6.1 	7.0 	3.7 	4.2 	6.2 	3.9 	4.7 	6.0 	7.8 	5.4 	10.4 	14.7 	6.0 	10.2 	4.1 	-0.4 	4.8 	-0.2 	4.8 	3.6 	3.0 	6.6 	5.7 	6.3 	7.0 	7.8 	6.9 	8.5 	6.3 	5.5 	6.6 	6.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,BE	3.5 p	3.6 	2.8 	2.2 	3.4 	2.5 	3.1 p	3.3 p	3.0 p	4.4 p	2.9 p	2.3 p	1.7 p	2.2 p	-0.1 p	1.9 p	0.7 p	0.0 p	1.9 	-0.8 	0.0 	-1.2 	-0.3 	0.5 	0.4 	0.7 	1.3 	1.8 	2.6 	3.8 	3.2 	4.2 	4.5 	4.5 	5.6 	4.3 	4.7 	2.7 	0.0 	-0.6 	-1.4 	0.9 	3.3 	5.2 	5.6 	6.5 	8.1 	8.3 	9.5 	10.2 	9.7 	11.4 	12.7 	12.8 	: 	: 	: 	: 
DW_EXST,RCH_A,BG	3.8 p	5.0 	5.3 	5.8 	7.7 	9.7 	10.0 	10.9 	9.2 	8.7 	8.8 	9.3 	7.5 	3.8 	3.6 	0.9 	2.2 	2.4 b	1.2 	0.4 	0.3 	0.0 	-1.2 	-1.8 	-2.2 	-2.0 	-1.4 	-2.2 	-2.6 	-4.3 	-6.2 	-6.1 	-6.4 	-5.6 	-5.6 	-6.0 	-9.6 	-17.8 	-26.3 	-28.0 	-21.9 	-8.4 	11.7 	26.8 	32.2 	31.6 	34.6 	30.6 	27.1 	22.6 	17.4 	14.0 	12.2 	15.1 	: 	: 	: 	: 
DW_EXST,RCH_A,CY	2.8 p	-0.1 	0.7 	0.8 	-2.1 	1.9 	3.3 	0.4 	2.5 	-0.3 	-1.8 	-0.8 	-1.0 	1.0 	-1.5 	-3.2 	1.0 	-2.6 	-2.9 	2.5 	-1.1 	4.3 	-2.2 	-3.3 	-4.5 	-7.5 	-3.0 	-6.4 	-6.7 	-1.8 	-2.0 	2.8 	6.0 	-0.2 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,CZ	8.8 	9.2 	9.3 p	8.3 	7.6 	7.3 	8.1 p	12.0 	13.1 	12.7 	11.1 p	7.3 	5.8 	4.8 	4.4 p	4.1 	3.7 	3.7 	3.8 	2.8 	1.8 	1.4 	0.2 	0.0 	0.0 	-0.4 	-0.8 	-1.4 	-1.7 	-1.3 	-0.6 	0.5 	0.8 	0.3 	0.2 	-0.3 	-1.2 	-4.8 	-7.6 	-8.0 	-5.5 	2.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,DE	5.6 p	5.6 p	6.5 	7.1 	6.7 	6.7 	6.6 	5.8 	6.1 	7.1 	8.7 	8.6 	6.9 	6.1 	5.8 	4.3 	4.4 	4.0 	3.0 	3.4 	2.9 	2.8 	1.9 	3.0 	4.7 	4.1 	5.0 	4.8 	2.3 	1.9 	4.3 	2.4 	2.8 	3.7 	-0.7 	1.6 	1.2 	1.2 	1.9 	1.0 	-0.5 	-2.0 	0.1 	-0.2 	1.7 	2.9 	-2.4 	-1.7 	-3.3 	-3.9 	1.3 	-2.7 	1.4 	-1.2 	: 	: 	: 	: 
DW_EXST,RCH_A,DK	3.0 p	1.8 	3.3 	3.7 	4.6 	6.0 	4.4 	4.7 	4.7 	4.5 	4.2 	5.9 	5.0 	5.9 	7.8 	7.1 	6.1 	6.6 	4.1 	3.3 	3.9 	3.5 	3.3 	4.2 	4.3 	2.3 	1.2 	-1.9 	-5.6 	-4.9 	-5.9 	-3.4 	0.9 	0.8 	2.6 	3.4 	3.5 	2.3 	-4.9 	-12.2 	-15.3 	-15.6 	-10.8 	-5.1 	-2.4 	-2.0 	-0.6 	0.5 	2.4 	7.4 	14.6 	23.4 	30.4 	29.3 	: 	: 	: 	: 
DW_EXST,RCH_A,EE	6.4 	7.2 	6.1 	5.0 	2.7 	2.2 	5.9 	6.2 	5.6 	6.2 	4.9 	4.6 	1.9 	6.1 	5.5 	3.8 	6.3 	4.0 	7.3 	9.0 	12.9 	15.3 	13.4 	12.0 	12.5 	7.4 	8.3 	8.9 	2.9 	2.9 	8.1 	6.7 	10.6 	8.5 	7.7 	12.0 	2.8 	-7.3 	-32.0 	-43.6 	-42.7 	-35.5 	-20.6 	-10.5 	-8.1 	-4.4 	-0.1 	9.5 	18.4 	29.4 	49.0 	60.7 	65.1 	60.7 	: 	: 	: 	: 
DW_EXST,RCH_A,ES	5.1 	6.3 	6.5 	7.3 	7.0 	6.3 	7.1 	6.7 	5.8 	5.3 	4.4 	3.5 	3.1 	6.4 	4.0 	4.5 	3.8 	1.1 	1.7 	0.1 	0.2 	-1.7 	-7.7 	-8.0 	-12.1 	-15.3 	-14.0 	-16.4 	-15.7 	-13.3 	-13.7 	-9.6 	-8.3 	-6.3 	-1.6 	-1.8 	0.0 	-1.4 	-3.5 	-8.2 	-11.2 	-12.5 	-10.7 	-8.6 	-4.9 	-0.7 	2.4 	7.5 	10.3 	13.0 	15.4 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,FI	0.1 	-0.1 	0.2 	-0.3 	0.1 	0.0 	0.8 	0.6 	1.1 	1.3 	0.3 	0.5 	0.6 	-0.2 	0.1 	-0.3 	-0.6 	-0.9 	-1.3 	-0.9 	-0.9 	-0.7 	0.1 	0.7 	0.9 	1.1 	2.4 	0.9 	0.3 	1.1 	0.9 	2.1 	3.7 	3.9 	5.1 	8.4 	9.9 	11.1 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
DW_EXST,RCH_A,FR	3.2 p	3.0 	3.2 	2.9 	2.9 	3.0 	3.3 	3.3 	3.1 	2.5 	1.5 	1.3 	0.6 	0.3 	-0.4 	-1.8 	-2.7 	-2.4 	-2.5 	-1.5 	-1.4 	-1.9 	-1.9 	-2.3 	-2.2 	-2.0 	-2.1 	-1.6 	-0.2 	1.8 	3.7 	6.1 	7.1 	7.0 	7.6 	6.6 	5.2 	1.2 	-4.1 	-7.8 	-9.1 	-7.4 	-3.8 	0.6 	2.5 	4.3 	5.7 	5.7 	6.8 	8.2 	10.0 	11.2 	12.9 	14.3 	: 	: 	: 	: 
DW_EXST,RCH_A,HR	10.7 	7.1 	5.0 	7.5 	5.0 	8.9 	8.3 	4.3 	4.9 	0.8 	1.8 	2.9 	1.9 	0.6 	0.1 	-1.5 	-3.4 	-0.8 	-1.9 	-2.1 	-0.3 	-0.7 	-2.0 	-4.1 	-4.4 	-6.3 	-5.6 	-2.8 	-1.8 	0.0 	-0.1 	0.0 	-1.8 	-2.0 	-3.6 	-3.4 	-4.5 	-9.2 	-8.6 	-10.3 	-6.6 	-1.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,HU	14.3 p	15.7 	15.8 	14.9 	13.6 	13.2 	12.3 	11.8 	11.8 	11.6 	11.8 	12.0 	13.5 	17.2 	14.9 	15.7 	13.1 	9.2 	8.7 	4.6 	2.7 	0.8 	-0.8 	-1.4 	-2.5 	-6.2 	-5.6 	-4.2 	-4.5 	-1.7 	-3.0 	-4.2 	-3.2 	-3.2 	0.1 	-1.1 	-2.1 	-4.5 	-8.0 	-7.3 	-5.7 	-1.3 	-2.4 	0.8 	5.1 	6.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IE	2.4 p	4.1 	7.0 	9.0 	12.6 	12.9 	12.9 	12.7 	12.0 	10.8 	9.6 	8.2 	5.9 	6.7 	5.9 	7.7 	13.5 	18.0 	20.7 	21.2 	18.5 	11.6 	6.1 	3.4 	-1.0 	-2.8 	-4.0 	-9.5 	-16.9 	-20.2 	-20.9 	-20.4 	-16.7 	-14.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A,IS	4.7 	5.3 	6.1 	5.8 	8.0 	13.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
